data.date,data.owned or leased,data.parking spaces,data.status,data.type,location.congressional district,location,region_id,data.disabilities.ADA Accessible,usable,City,location.address.state,address_code
1933.1.1,OWNED,29,ACTIVE,BUILDING,1,CT0013,1,Will Conform,97072,HARTFORD,CT,61031125
2019.1.1,OWNED,0,ACTIVE,BUILDING,3,CT0024,1,Will Conform,67717,NEW HAVEN,CT,65102001
1933.1.1,LEASED,2,ACTIVE,BUILDING,5,CT0047,1,Will Conform,7442,WATERBURY,CT,67029998
1963.1.1,OWNED,103,ACTIVE,BUILDING,1,CT0053,1,Will Conform,203175,HARTFORD,CT,61031804
1967.1.1,OWNED,131,ACTIVE,BUILDING,4,CT0059,1,Will Conform,86215,BRIDGEPORT,CT,66044706
1969.1.1,OWNED,5,ACTIVE,BUILDING,5,CT0060,1,Will Conform,5052,TORRINGTON,CT,67906407
1977.1.1,OWNED,74,ACTIVE,BUILDING,3,CT0061,1,Will Conform,82729,NEW HAVEN,CT,65112020
0,LEASED,164,ACTIVE,BUILDING,1,CT3316,1,Will Conform,37395,EAST HARTFORD,CT,61083234
0,LEASED,8,ACTIVE,BUILDING,4,CT3319,1,Will Conform,5020,STAMFORD,CT,69012797
0,LEASED,1,ACTIVE,BUILDING,3,CT3322,1,Will Conform,5045,MIDDLETOWN,CT,6457
0,LEASED,0,ACTIVE,BUILDING,1,CT3323,1,Will Conform,15150,EAST HARTFORD,CT,61084200
0,LEASED,5,ACTIVE,BUILDING,3,CT3326,1,Will Conform,3293,NEW HAVEN,CT,65101300
0,LEASED,46,ACTIVE,BUILDING,3,CT3331,1,Will Conform,95786,NEW HAVEN,CT,65102100
0,LEASED,35,ACTIVE,BUILDING,3,CT3341,1,Will Conform,18070,NEW HAVEN,CT,65107013
0,LEASED,2,ACTIVE,BUILDING,1,CT3351,1,Will Conform,5200,GLASTONBURY,CT,60332411
0,LEASED,39,ACTIVE,BUILDING,5,CT3354,1,Will Conform,11670,MERIDEN,CT,64504893
